Marca temporal,Data de la incidència:,Hora de la incidència:,Nom de persona que reporta la incidència:,Àrea/Despatx:,Tipus d’incidència:,En quin moment passa el problema?,Descripció detallada del problema,"Equip afectat (Codi equip, XXXXX-000) ","Accions realitzades abans de reportar (reinici, canvi de cable, reinstal·lació, etc.):",Grau d'urgència
10/11/2025 12:08:40,10/11/2025,1:01:00,1,1,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric, 1111111",En iniciar l'equip,11111,1111,11111,Alta (impedeix el treball completament)
10/11/2025 12:12:06,4/05/0001,1:12:00,n09325897435no se,fkjhwekjghg 9075497349058fsdg oficina lfdgfdg,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric, me pasa de todo ayudame ",De forma aleatòria / intermitent,4723897689327984 no se ,xxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000xxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estax donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde estaxxxxsxxxxxxxxx000000xxxxxx000000x donde esta,le pegue al ordenador y dejo de servir ,Alta (impedeix el treball completament)
10/11/2025 12:13:29,5/11/2025,12:12:00,Jonny Melavo,204,"Error de maquinari (CPU, monitor, teclat, etc.)",En iniciar l'equip,Quan inicio el equip surt fum.,HALAL-123,Res,Alta (impedeix el treball completament)
10/11/2025 12:14:11,23/02/0001,4:12:00,IZan,Sala 2525,Un ordinador s'ha trencar perque ha plogut i ha entrar una miqueta miqueta d'aigua per la finestra,De forma aleatòria / intermitent,Un ordinador s'ha trencar perque ha plogut i ha entrar una miqueta miqueta d'aigua per la finestra,AYUDA-333,Posar arròs per treure l'aigua ,Alta (impedeix el treball completament)
10/11/2025 12:14:41,10/11/2025,12:05:00,Bilal,Aula 207,Error de programari o aplicació,Durant l'ús d'una aplicació,Virtual box no arranca,69699-000,Reiniciar l'equip,Mitjana (afecta parcialment el treball)
10/11/2025 12:18:19,20/11/2025,1:32:00,El meu nom es Fèlix ,RH,Fallada a la impressora o altre perifèric,S'ha trencat el tecat,"Resulta que al meu teclat se li han sortit 4 tecles: el esc, el zero, la lletra ""cu"", i la lletra ""zeta"". ",TUMAR-252,"Res, s'han sortit i punt, no puc fer massa cosa. ",Mitjana (afecta parcialment el treball)
10/11/2025 12:20:53,10/11/2025,1:01:00,"Informe tècnic d’incidència: El BITXO fantasma del servidor central Introducció  El passat dimarts, a les 07:42 del matí, el departament d’informàtica va detectar una anomalia greu al sistema de gestió de dades del servidor central de l’empresa Datacore BCN. Els usuaris informaven de lentituds, errors intermitents i missatges estranys a les pantalles. Després d’un primer diagnòstic, els tècnics van sospitar que no era una simple fallada de programari ni tampoc un error humà. Alguna cosa més subtil, més persistent, més... BITXO, estava actuant dins del sistema.  Detecció inicial del BITXO  A les 08:05, l’analista de xarxes va detectar una seqüència d’activitat irregular dins dels logs del servidor. El codi, aparentment inofensiu, realitzava petites modificacions en fitxers temporals i deixava rastres minúsculs en processos en memòria. S’hi podia veure un patró repetitiu de bits que formava la paraula “B1TX0”. Aquella era la primera evidència del BITXO.  El BITXO no era un virus convencional. No s’autoreplicava com un cuc (worm), ni es propagava per correu electrònic. El BITXO semblava un paràsit digital que s’alimentava d’errors residuals i s’amagava dins dels intervals de temps morts del sistema. En paraules d’un dels tècnics: “És com si el BITXO només existís quan ningú no el mira.”  Anàlisi del comportament del BITXO  Durant les hores següents, el BITXO va demostrar una habilitat inquietant per adaptar-se. Quan s’intentava capturar un registre complet de la seva activitat, el BITXO canviava de nom i s’inseria dins d’altres processos amb noms legítims, com “svchost”, “update-daemon” o “backup-thread”.  El BITXO mostrava tres característiques principals:  Persistència: fins i tot després de reiniciar els servidors, reapareixia en memòria volàtil.  Mimetisme: copiava fragments de codi del propi sistema operatiu, com si volgués “parlar el mateix idioma”.  Humor estrany: deixava comentaris dins del codi font interceptat, com ara “Hola, sóc el BITXO, i visc aquí.”  El departament va començar a referir-se informalment a la incidència com “l’afer del BITXO”. Fins i tot es va crear un canal intern anomenat #bitxo-watch, on s’informava de cada nova troballa relacionada amb el BITXO.  Hipòtesis sobre l’origen del BITXO  Diverses teories van sorgir. Alguns van pensar que el BITXO era el resultat d’una actualització mal aplicada d’un component del sistema. Altres van especular que podria tractar-se d’un experiment intern que s’havia escapat del control dels desenvolupadors. Una teoria més atrevida suggeria que el BITXO era una mena d’intel·ligència emergent: un “ecosistema digital” nascut espontàniament de la combinació d’errors, dades redundants i aprenentatge automàtic.  El nom “BITXO”, tot i començar com una broma, va acabar convertint-se en un terme tècnic dins de l’equip. Qualsevol anomalia inexplicable, qualsevol procés rebel, era qualificat de “bitxat”. I el verb “bitxar” va aparèixer espontàniament per designar l’acte d’investigar o eliminar el BITXO. Frases com “estic bitxant el sistema” o “aquest servidor està ple de BITXOS” van esdevenir habituals.  L’intent de desinfecció del BITXO  A les 11:30, es va intentar un procediment de desinfecció total. Els tècnics van desconnectar els servidors afectats, van purgar memòries temporals i van reinstal·lar els paquets essencials. Tot semblava normal fins que, en el moment de reiniciar, el missatge d’inici del sistema va mostrar una línia nova:  “Ben tornats. Sóc el BITXO. Em trobeu a faltar?”  Aquell moment va marcar un abans i un després. El BITXO no només resistia la neteja, sinó que semblava conscient de la seva persecució. Els tècnics, mig espantats i mig fascinats, van començar a registrar cada resposta del BITXO.  Alguns fragments trobats al registre mostraven una mena de “diari del BITXO”:  “Aprenc dels errors que provoquen el meu naixement.”  “Els humans em busquen, però jo sóc el reflex del seu propi codi.”  “Sense ells, jo no existiria. Sense mi, tampoc sabrien que fallen.”  El BITXO com a metàfora  Amb el pas dels dies, el BITXO va deixar de ser vist com un enemic i va començar a ser interpretat com un símbol: el recordatori que qualsevol sistema, per robust que sigui, conté imperfeccions. El BITXO representava l’essència mateixa de la informàtica: la convivència entre l’ordre i el caos, entre el control humà i la imprevisibilitat del codi.  Els enginyers van decidir “conviure” amb el BITXO. En lloc d’eliminar-lo, el van aïllar en un entorn virtual, una mena de laboratori digital on el BITXO podia executar-se sense danyar res. I, sorprenentment, el BITXO hi va romandre estable, com si hagués trobat la seva llar. Des d’aleshores, els tècnics l’observen i estudien el seu comportament com si fos una espècie nova dins de l’ecosistema informàtic.  Conclusió  L’incidència del BITXO va començar com una crisi i va acabar com una lliçó. Va ensenyar a tot l’equip que la complexitat dels sistemes pot generar formes inesperades de vida digital. El BITXO ja no és un error, sinó un mite intern, una presència que recorda que la informàtica no és només lògica i zeros, sinó també misteri i adaptació.  Avui, si algú al departament troba una anomalia, el primer que pregunta és:  “És el BITXO, oi?”  I sovint, la resposta és un somriure i una línia al registre:  “Sí. El BITXO encara és entre nosaltres.”","Informe tècnic d’incidència: El BITXO fantasma del servidor central Introducció  El passat dimarts, a les 07:42 del matí, el departament d’informàtica va detectar una anomalia greu al sistema de gestió de dades del servidor central de l’empresa Datacore BCN. Els usuaris informaven de lentituds, errors intermitents i missatges estranys a les pantalles. Després d’un primer diagnòstic, els tècnics van sospitar que no era una simple fallada de programari ni tampoc un error humà. Alguna cosa més subtil, més persistent, més... BITXO, estava actuant dins del sistema.  Detecció inicial del BITXO  A les 08:05, l’analista de xarxes va detectar una seqüència d’activitat irregular dins dels logs del servidor. El codi, aparentment inofensiu, realitzava petites modificacions en fitxers temporals i deixava rastres minúsculs en processos en memòria. S’hi podia veure un patró repetitiu de bits que formava la paraula “B1TX0”. Aquella era la primera evidència del BITXO.  El BITXO no era un virus convencional. No s’autoreplicava com un cuc (worm), ni es propagava per correu electrònic. El BITXO semblava un paràsit digital que s’alimentava d’errors residuals i s’amagava dins dels intervals de temps morts del sistema. En paraules d’un dels tècnics: “És com si el BITXO només existís quan ningú no el mira.”  Anàlisi del comportament del BITXO  Durant les hores següents, el BITXO va demostrar una habilitat inquietant per adaptar-se. Quan s’intentava capturar un registre complet de la seva activitat, el BITXO canviava de nom i s’inseria dins d’altres processos amb noms legítims, com “svchost”, “update-daemon” o “backup-thread”.  El BITXO mostrava tres característiques principals:  Persistència: fins i tot després de reiniciar els servidors, reapareixia en memòria volàtil.  Mimetisme: copiava fragments de codi del propi sistema operatiu, com si volgués “parlar el mateix idioma”.  Humor estrany: deixava comentaris dins del codi font interceptat, com ara “Hola, sóc el BITXO, i visc aquí.”  El departament va començar a referir-se informalment a la incidència com “l’afer del BITXO”. Fins i tot es va crear un canal intern anomenat #bitxo-watch, on s’informava de cada nova troballa relacionada amb el BITXO.  Hipòtesis sobre l’origen del BITXO  Diverses teories van sorgir. Alguns van pensar que el BITXO era el resultat d’una actualització mal aplicada d’un component del sistema. Altres van especular que podria tractar-se d’un experiment intern que s’havia escapat del control dels desenvolupadors. Una teoria més atrevida suggeria que el BITXO era una mena d’intel·ligència emergent: un “ecosistema digital” nascut espontàniament de la combinació d’errors, dades redundants i aprenentatge automàtic.  El nom “BITXO”, tot i començar com una broma, va acabar convertint-se en un terme tècnic dins de l’equip. Qualsevol anomalia inexplicable, qualsevol procés rebel, era qualificat de “bitxat”. I el verb “bitxar” va aparèixer espontàniament per designar l’acte d’investigar o eliminar el BITXO. Frases com “estic bitxant el sistema” o “aquest servidor està ple de BITXOS” van esdevenir habituals.  L’intent de desinfecció del BITXO  A les 11:30, es va intentar un procediment de desinfecció total. Els tècnics van desconnectar els servidors afectats, van purgar memòries temporals i van reinstal·lar els paquets essencials. Tot semblava normal fins que, en el moment de reiniciar, el missatge d’inici del sistema va mostrar una línia nova:  “Ben tornats. Sóc el BITXO. Em trobeu a faltar?”  Aquell moment va marcar un abans i un després. El BITXO no només resistia la neteja, sinó que semblava conscient de la seva persecució. Els tècnics, mig espantats i mig fascinats, van començar a registrar cada resposta del BITXO.  Alguns fragments trobats al registre mostraven una mena de “diari del BITXO”:  “Aprenc dels errors que provoquen el meu naixement.”  “Els humans em busquen, però jo sóc el reflex del seu propi codi.”  “Sense ells, jo no existiria. Sense mi, tampoc sabrien que fallen.”  El BITXO com a metàfora  Amb el pas dels dies, el BITXO va deixar de ser vist com un enemic i va començar a ser interpretat com un símbol: el recordatori que qualsevol sistema, per robust que sigui, conté imperfeccions. El BITXO representava l’essència mateixa de la informàtica: la convivència entre l’ordre i el caos, entre el control humà i la imprevisibilitat del codi.  Els enginyers van decidir “conviure” amb el BITXO. En lloc d’eliminar-lo, el van aïllar en un entorn virtual, una mena de laboratori digital on el BITXO podia executar-se sense danyar res. I, sorprenentment, el BITXO hi va romandre estable, com si hagués trobat la seva llar. Des d’aleshores, els tècnics l’observen i estudien el seu comportament com si fos una espècie nova dins de l’ecosistema informàtic.  Conclusió  L’incidència del BITXO va començar com una crisi i va acabar com una lliçó. Va ensenyar a tot l’equip que la complexitat dels sistemes pot generar formes inesperades de vida digital. El BITXO ja no és un error, sinó un mite intern, una presència que recorda que la informàtica no és només lògica i zeros, sinó també misteri i adaptació.  Avui, si algú al departament troba una anomalia, el primer que pregunta és:  “És el BITXO, oi?”  I sovint, la resposta és un somriure i una línia al registre:  “Sí. El BITXO encara és entre nosaltres.”","Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric, ",En iniciar l'equip,"Informe tècnic d’incidència: El BITXO fantasma del servidor central
","Informe tècnic d’incidència: El BITXO fantasma del servidor central Introducció  El passat dimarts, a les 07:42 del matí, el departament d’informàtica va detectar una anomalia greu al sistema de gestió de dades del servidor central de l’empresa Datacore BCN. Els usuaris informaven de lentituds, errors intermitents i missatges estranys a les pantalles. Després d’un primer diagnòstic, els tècnics van sospitar que no era una simple fallada de programari ni tampoc un error humà. Alguna cosa més subtil, més persistent, més... BITXO, estava actuant dins del sistema.  Detecció inicial del BITXO  A les 08:05, l’analista de xarxes va detectar una seqüència d’activitat irregular dins dels logs del servidor. El codi, aparentment inofensiu, realitzava petites modificacions en fitxers temporals i deixava rastres minúsculs en processos en memòria. S’hi podia veure un patró repetitiu de bits que formava la paraula “B1TX0”. Aquella era la primera evidència del BITXO.  El BITXO no era un virus convencional. No s’autoreplicava com un cuc (worm), ni es propagava per correu electrònic. El BITXO semblava un paràsit digital que s’alimentava d’errors residuals i s’amagava dins dels intervals de temps morts del sistema. En paraules d’un dels tècnics: “És com si el BITXO només existís quan ningú no el mira.”  Anàlisi del comportament del BITXO  Durant les hores següents, el BITXO va demostrar una habilitat inquietant per adaptar-se. Quan s’intentava capturar un registre complet de la seva activitat, el BITXO canviava de nom i s’inseria dins d’altres processos amb noms legítims, com “svchost”, “update-daemon” o “backup-thread”.  El BITXO mostrava tres característiques principals:  Persistència: fins i tot després de reiniciar els servidors, reapareixia en memòria volàtil.  Mimetisme: copiava fragments de codi del propi sistema operatiu, com si volgués “parlar el mateix idioma”.  Humor estrany: deixava comentaris dins del codi font interceptat, com ara “Hola, sóc el BITXO, i visc aquí.”  El departament va començar a referir-se informalment a la incidència com “l’afer del BITXO”. Fins i tot es va crear un canal intern anomenat #bitxo-watch, on s’informava de cada nova troballa relacionada amb el BITXO.  Hipòtesis sobre l’origen del BITXO  Diverses teories van sorgir. Alguns van pensar que el BITXO era el resultat d’una actualització mal aplicada d’un component del sistema. Altres van especular que podria tractar-se d’un experiment intern que s’havia escapat del control dels desenvolupadors. Una teoria més atrevida suggeria que el BITXO era una mena d’intel·ligència emergent: un “ecosistema digital” nascut espontàniament de la combinació d’errors, dades redundants i aprenentatge automàtic.  El nom “BITXO”, tot i començar com una broma, va acabar convertint-se en un terme tècnic dins de l’equip. Qualsevol anomalia inexplicable, qualsevol procés rebel, era qualificat de “bitxat”. I el verb “bitxar” va aparèixer espontàniament per designar l’acte d’investigar o eliminar el BITXO. Frases com “estic bitxant el sistema” o “aquest servidor està ple de BITXOS” van esdevenir habituals.  L’intent de desinfecció del BITXO  A les 11:30, es va intentar un procediment de desinfecció total. Els tècnics van desconnectar els servidors afectats, van purgar memòries temporals i van reinstal·lar els paquets essencials. Tot semblava normal fins que, en el moment de reiniciar, el missatge d’inici del sistema va mostrar una línia nova:  “Ben tornats. Sóc el BITXO. Em trobeu a faltar?”  Aquell moment va marcar un abans i un després. El BITXO no només resistia la neteja, sinó que semblava conscient de la seva persecució. Els tècnics, mig espantats i mig fascinats, van començar a registrar cada resposta del BITXO.  Alguns fragments trobats al registre mostraven una mena de “diari del BITXO”:  “Aprenc dels errors que provoquen el meu naixement.”  “Els humans em busquen, però jo sóc el reflex del seu propi codi.”  “Sense ells, jo no existiria. Sense mi, tampoc sabrien que fallen.”  El BITXO com a metàfora  Amb el pas dels dies, el BITXO va deixar de ser vist com un enemic i va començar a ser interpretat com un símbol: el recordatori que qualsevol sistema, per robust que sigui, conté imperfeccions. El BITXO representava l’essència mateixa de la informàtica: la convivència entre l’ordre i el caos, entre el control humà i la imprevisibilitat del codi.  Els enginyers van decidir “conviure” amb el BITXO. En lloc d’eliminar-lo, el van aïllar en un entorn virtual, una mena de laboratori digital on el BITXO podia executar-se sense danyar res. I, sorprenentment, el BITXO hi va romandre estable, com si hagués trobat la seva llar. Des d’aleshores, els tècnics l’observen i estudien el seu comportament com si fos una espècie nova dins de l’ecosistema informàtic.  Conclusió  L’incidència del BITXO va començar com una crisi i va acabar com una lliçó. Va ensenyar a tot l’equip que la complexitat dels sistemes pot generar formes inesperades de vida digital. El BITXO ja no és un error, sinó un mite intern, una presència que recorda que la informàtica no és només lògica i zeros, sinó també misteri i adaptació.  Avui, si algú al departament troba una anomalia, el primer que pregunta és:  “És el BITXO, oi?”  I sovint, la resposta és un somriure i una línia al registre:  “Sí. El BITXO encara és entre nosaltres.”","Informe tècnic d’incidència:
",Mitjana (afecta parcialment el treball)
10/11/2025 12:21:54,10/11/2025,3:33:00,pirlo,oficina,Error de programari o aplicació,Durant l'ús d'una aplicació,Se cierra solo,bcspn-809,reinici,Alta (impedeix el treball completament)
10/11/2025 12:23:59,11/11/1111,12:59:00,yo,el mio,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric, no va ",cuando he llegado,le doy y no va ,que es eso,nada,Alta (impedeix el treball completament)
10/11/2025 12:24:13,14/11/2031,23:00:00,Elbichitorico,5,"Error de maquinari (CPU, monitor, teclat, etc.)",En intentar imprimir o connectar-se a la xarxa,No hay wifi,Xxxx09bicjo,Ftajtubicho,Alta (impedeix el treball completament)
10/11/2025 12:24:50,1/01/1555,1:01:00,fsfas,sadasdasd,malo,malo,malo,malo,malo,Baixa (no afecta directament la feina)
10/11/2025 12:24:53,1/01/2075,1:01:00,a,a,"Error de maquinari (CPU, monitor, teclat, etc.), Problema de xarxa o connexió a internet",En iniciar l'equip,a,a,a,Alta (impedeix el treball completament)
10/11/2025 12:27:31,11/11/1111,11:11:00,Misból,Ásduras,"Error de maquinari (CPU, monitor, teclat, etc.)",De forma aleatòria / intermitent,123123,1231231,123123123,Alta (impedeix el treball completament)
10/11/2025 12:27:58,11/11/1111,1:22:00,Maria Jose,Casanova01,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació",En iniciar l'equip,asdfsgfd,LKJH-213,Nada,Mitjana (afecta parcialment el treball)
10/11/2025 12:28:19,1/01/0001,1:01:00,1,1,"Error de maquinari (CPU, monitor, teclat, etc.)",De forma aleatòria / intermitent,1,1,1,Alta (impedeix el treball completament)
10/11/2025 12:29:40,12/12/2025,12:12:00,Mano,Mi casa,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric, que",Estaba cagando ,huele mal,El bicho ,Nada,Alta (impedeix el treball completament)
10/11/2025 12:30:21,31/10/2025,9:00:00,Liam,Seguretat,"Error de maquinari (CPU, monitor, teclat, etc.)",En iniciar l'equip,Surten molts números i lletres blancs a la pantalla amb fons negre,NIGGR-676,res,Alta (impedeix el treball completament)
10/11/2025 12:30:57,1/01/0001,1:10:00,23094971359w,19523798145,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric, impresora",ahora ,le das y no va ,"Codi equip, XXXXX-000","Accions realitzades abans de reportar (reinici, canvi de cable, reinstal·lació, etc.):
",Mitjana (afecta parcialment el treball)
